V161019,V161216
-1,1
-1,1
2,1
4,1
-1,2
4,1
2,1
5,1
2,1
-1,1
-1,1
-1,1
-1,1
2,1
-1,1
1,2
-1,1
4,1
1,1
-1,1
-1,1
1,1
4,1
-1,1
1,1
1,1
1,1
1,2
-1,1
-1,1
5,2
-1,1
-1,1
4,1
-1,1
-1,1
4,1
-1,1
-1,1
-1,1
2,1
2,1
1,2
1,1
-1,1
-1,1
2,1
-1,1
4,1
-1,1
1,1
-1,2
-1,1
-1,1
-1,1
-1,1
2,1
-1,1
-1,2
-1,1
4,2
1,2
-1,1
1,1
-1,2
-1,1
2,1
-1,1
-1,1
4,1
-1,1
1,2
2,1
2,1
-1,2
-1,1
1,1
-1,2
2,1
2,1
4,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
2,1
-1,1
4,1
-1,1
2,1
-1,1
-1,2
1,1
4,1
-1,2
-1,1
4,1
1,1
2,1
2,1
2,1
2,1
4,1
4,1
-1,2
2,1
4,2
1,1
1,1
1,1
-1,1
-1,1
2,2
4,1
2,1
-1,1
2,1
-1,2
-1,1
1,1
1,2
-1,1
-1,1
-1,2
2,2
-1,1
-1,1
2,1
1,1
1,2
4,1
1,1
2,1
1,1
1,1
-1,1
-1,2
2,1
2,2
1,1
1,1
2,2
2,1
1,1
2,1
4,1
-1,1
1,2
1,2
-1,1
-1,2
2,1
4,1
1,2
-1,1
4,1
1,1
-1,1
2,2
4,1
4,2
-1,1
-1,1
2,1
-1,1
4,1
2,1
1,2
1,1
1,1
4,1
1,1
1,2
-1,1
-1,2
1,1
-1,1
4,1
-1,1
-1,1
1,1
-1,1
4,1
-1,2
2,2
-1,2
2,1
4,1
1,1
-1,1
-1,1
-1,2
-1,1
-1,1
4,1
2,1
-1,1
4,1
-1,1
4,1
4,1
-1,2
2,1
-1,1
2,1
2,1
2,1
4,1
-1,1
4,1
4,1
1,1
-1,1
-1,1
-1,1
1,1
-1,2
-1,1
2,1
1,1
-1,1
2,1
-1,1
-1,1
1,1
-1,1
1,1
4,1
-1,1
-1,1
1,1
-1,1
-1,2
-1,1
-1,1
-1,1
4,1
1,1
2,1
-1,1
1,1
5,1
2,1
4,1
-1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,2
-1,1
2,1
-1,1
1,1
-1,1
2,1
2,1
-1,1
-1,1
-1,1
-1,1
-1,1
4,1
1,1
2,1
2,1
1,1
-1,1
4,1
-1,1
-1,1
2,1
-1,1
1,1
4,1
-1,1
-1,1
-1,1
-1,1
1,1
-1,2
-1,1
4,1
1,2
-1,1
-1,1
-1,1
1,1
2,1
-1,1
-1,1
-1,2
1,1
-1,1
-1,1
1,1
-1,1
2,1
-1,2
-1,1
-1,1
-1,1
-1,2
-1,1
-1,2
1,1
1,1
-1,2
4,1
-1,1
-1,1
2,1
-1,1
2,1
2,2
-1,2
-1,1
-1,1
1,1
4,1
4,1
1,1
4,2
4,1
-1,1
-1,1
-1,1
2,1
-1,1
2,1
-1,1
1,1
2,2
-1,1
1,2
-1,1
1,1
-1,2
-1,2
-1,1
-1,1
-1,1
4,1
2,-9
-1,1
1,1
2,2
1,1
-1,1
2,1
-1,1
2,1
-1,1
2,-9
-1,1
-1,1
4,2
1,1
2,1
2,1
-1,1
-1,1
1,1
4,1
-1,2
1,1
-1,1
1,2
-1,2
4,1
4,2
2,1
1,1
-1,1
2,2
-1,1
1,1
-1,1
1,1
-1,1
5,1
2,1
2,1
-1,1
-1,1
-1,1
4,1
2,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
2,1
-1,1
2,2
1,2
1,2
-1,2
-1,1
2,1
-1,1
-1,1
-1,1
2,1
-1,1
4,1
-1,-9
1,1
4,1
4,1
2,1
-1,1
2,1
-1,1
1,1
2,2
1,1
-1,1
-1,2
2,1
-1,1
-1,1
-1,2
2,1
-1,1
1,1
4,1
4,1
2,1
1,1
2,1
1,1
1,1
-1,2
-1,2
1,2
-1,1
-1,1
-1,1
4,1
1,2
-1,1
4,1
-1,1
2,1
1,1
-1,1
-1,2
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
2,1
4,2
-1,1
-1,1
1,1
-1,1
-1,1
-1,1
-1,1
1,2
-1,1
-1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
2,1
4,1
1,1
2,1
1,2
-1,1
4,1
-1,1
-1,1
-1,1
-1,1
1,1
1,2
-1,1
2,1
2,1
-1,1
-1,1
1,1
1,1
4,1
-1,1
4,1
-1,1
-1,2
-1,1
1,1
2,1
4,1
1,1
4,1
2,1
4,1
-1,1
2,1
-1,1
-1,1
-1,1
2,1
2,1
2,1
-1,2
4,1
-1,1
-1,1
2,1
1,1
-1,1
1,1
-1,2
-1,1
-1,1
-1,2
4,1
-1,1
1,1
2,1
-1,1
-1,2
-1,1
-1,2
2,1
2,1
2,1
1,2
2,1
2,1
2,1
-1,1
1,1
1,2
1,1
4,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
-1,1
2,1
4,1
-1,1
-1,1
2,1
-1,2
1,1
2,1
4,1
-1,1
-1,2
1,1
1,1
4,2
-1,1
2,1
-1,1
-1,1
-1,1
1,1
-1,2
-1,1
-1,2
-1,1
-1,1
-1,1
-1,1
2,1
-1,1
-1,2
-1,1
-1,1
-1,1
2,1
4,1
-1,1
1,1
1,2
1,1
1,1
-1,1
1,1
-1,2
-1,1
-1,2
2,1
2,1
1,1
2,2
1,2
4,1
1,1
-1,1
1,2
4,1
-1,1
4,1
-1,1
2,1
2,1
-1,1
-1,1
4,2
-1,1
4,1
4,1
-1,1
-1,1
-1,1
-1,-9
-1,1
-1,1
2,1
-1,1
2,1
-1,1
-1,2
1,1
-1,1
-1,1
2,1
2,1
-1,2
1,1
4,1
-1,1
-1,1
4,1
-1,1
-1,1
1,1
1,2
-1,1
4,1
1,1
-1,1
-1,1
2,1
-1,1
4,1
-1,1
1,1
4,1
-1,1
-1,1
-1,1
1,2
-1,1
4,1
-1,1
5,1
4,1
1,2
1,1
4,1
2,1
2,1
-1,1
2,1
4,1
-1,2
-1,1
4,1
1,1
-1,1
-1,1
1,1
4,1
1,1
1,1
-1,1
2,1
-1,2
4,1
1,1
1,2
1,1
-1,1
2,1
-1,2
2,1
-1,1
-1,1
-1,2
1,1
-1,1
-1,1
2,1
-1,1
-1,2
-1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,2
-1,1
2,1
-1,1
4,2
1,1
1,2
-1,1
-1,1
2,1
1,1
4,1
-1,1
1,1
2,1
-1,1
-1,1
2,1
-1,1
-1,2
1,2
-1,1
-1,1
-1,2
-1,1
-1,2
1,1
4,1
-1,1
2,1
-1,2
2,1
-1,2
1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,2
4,1
1,1
-1,1
1,1
-1,2
-1,1
1,1
-1,1
-1,1
-1,2
2,1
1,1
1,1
2,1
2,1
4,1
4,1
2,1
-1,2
-1,1
-1,1
1,1
-1,1
4,1
1,1
1,2
2,1
-1,1
-1,1
2,1
-1,1
1,1
1,1
-1,2
-1,1
-1,1
2,1
2,1
-1,1
1,1
-1,1
-1,2
4,1
4,2
1,1
-1,2
1,2
1,1
-1,2
-1,1
2,1
-1,1
1,1
4,1
2,1
-1,1
-1,1
-1,1
1,1
2,1
1,1
1,2
4,1
-1,-9
1,1
-1,2
-1,2
1,1
1,2
-1,1
1,2
1,1
1,1
-1,1
1,1
1,2
-1,1
-1,1
4,1
-1,1
2,1
-1,1
-1,1
-1,2
2,1
1,1
-1,1
-1,1
-1,1
4,1
1,2
2,1
2,1
1,1
-1,1
1,1
-1,1
2,2
1,1
-1,1
4,1
1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
2,1
-1,1
-1,1
2,1
1,2
1,1
-1,1
1,1
-1,1
-1,1
2,2
1,1
-1,1
-1,1
4,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,2
1,1
2,1
-1,1
-1,1
-1,1
-1,2
4,2
1,1
-1,1
-1,1
-1,1
-1,1
2,1
-1,1
-1,2
-1,1
-1,1
-1,2
4,1
-1,1
1,1
4,1
4,1
-1,2
-1,1
-1,1
-1,1
1,1
-1,2
-1,1
2,2
-1,1
1,-9
1,1
4,1
2,1
2,2
4,1
-1,1
-1,2
2,1
-1,1
-1,1
2,1
-1,1
-1,1
-1,1
4,1
-1,1
1,1
-1,1
2,1
1,1
4,1
2,1
-1,1
1,1
1,2
-9,1
-1,1
1,2
-1,1
4,1
4,1
4,2
1,1
4,1
-1,1
-1,1
1,1
-1,2
-1,2
1,2
-1,1
-1,1
4,1
-1,1
1,1
-1,1
1,1
4,1
-1,1
-1,2
-1,1
4,2
-1,1
2,1
1,1
1,1
-1,2
-1,1
-1,1
2,1
-1,1
-8,1
-1,1
-1,1
-1,1
1,1
-1,1
4,2
2,1
-1,1
1,1
-1,1
-1,1
-1,1
-1,1
-1,1
2,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
2,2
4,1
-1,1
2,1
-1,1
4,1
-1,1
-1,1
1,1
4,1
2,1
2,1
2,1
-1,1
-1,1
-1,1
4,1
-1,1
-1,1
2,1
-1,1
-1,1
2,1
-1,1
-1,1
-1,2
1,1
2,1
4,1
-1,2
2,1
2,1
-1,1
-1,1
-1,1
1,1
-1,1
1,2
-1,2
-1,1
-1,1
-1,2
2,1
4,1
2,1
-1,1
1,1
-1,1
4,1
-1,1
4,1
4,1
2,1
-1,1
2,1
-1,1
2,1
-1,2
1,1
-1,1
1,1
1,1
1,1
-1,2
-1,1
-1,1
4,2
-1,1
-1,1
-1,1
-1,1
2,2
-1,1
4,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
-1,1
2,1
-1,1
-1,1
4,1
-1,1
2,2
-1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
4,-9
2,1
-1,1
-1,2
-1,2
-1,1
-1,1
-1,2
1,1
-1,1
-1,1
-1,1
2,2
1,1
2,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
2,1
-1,1
-1,1
-1,2
4,1
-1,2
1,1
-1,2
2,2
-1,1
-1,1
-1,1
2,1
-1,1
4,1
2,1
1,1
4,1
4,2
2,1
-1,1
1,1
4,1
1,-9
-1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
-1,2
-1,1
1,1
-1,1
